MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
1st,39.4,0.547,16.8,27.1,9,30,20.1,29.5,434.6,14.5,24.2,3,10.9,1139,13.9,16.9,9.8,19.6,804,0.506,1.23,0.502,4.5,5.7,368,0.791,0,0,0,0,409,5,6.1,1.93,120,1.46,1.78,0.59,178,2.17,2.64,0.88,71,2
2nd,36.6,0.534,11.6,27.1,10,27.6,19,27.14,288.1,9.6,22.3,3.3,9.2,859,12.4,16.3,8.6,17.1,592,0.505,1.3,0.502,5.1,8.5,352,0.599,0,0,0,0,0,0,0,0,0,0,0,0,185,2.68,3.51,1.13,56,0
0,39.9,0.526,15.8,30.9,4,13.3,8.5,25.28,323.3,10.8,28,0,0,0,0,0,9.7,23.4,653,0.455,1.2,0.473,5.9,7.5,398,0.796,2.6,8,174,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36.8,0.578,12,23.9,11,24.4,17.7,24.48,250.7,8.4,21.5,0,0,0,0,0,8.3,14.1,554,0.584,1.52,0.584,4.9,10.1,331,0.49,0,0,0,0,0,0,0,0,0,0,0,0,166,2.48,3.23,0.74,43,0
5th,37.6,0.551,17.2,27,5,12,8.3,23.67,253.1,8.4,24,0,0,0,0,0,7.9,18.1,516,0.463,1.32,0.468,7,8.2,454,0.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,38.7,0.567,13.9,22,11,19.1,15.2,23.32,225.9,7.5,0,0,0,0,0,0,7,14.2,484,0.493,1.4,0.493,6,7.7,411,0.773,0,0,0,0,0,0,0,0,0,0,0,0,154,2.23,2.77,0.67,40,0
0,35,0.566,26.6,26.1,2,8.7,5.5,22.84,271.4,9,19.8,0,0,0,0,0,7.7,15.7,620,0.504,1.26,0.517,3.6,4.1,289,0.873,0,0,0,0,592,7.3,10,2.69,102,1.26,1.73,0.41,0,0,0,0,18,1
0,37.1,0.559,15.2,20.8,10,17.5,13.5,22.79,244.4,8.1,16.5,2.9,5.2,629,8.1,10.4,0,0,0,0,0,0,5,6.4,392,0.79,0,0,0,0,0,0,0,0,150,1.92,2.49,0.86,215,2.76,3.56,1.24,25,0
0,37.9,0.561,11.3,22.6,3,22.2,12.5,22.56,248.3,8.3,21.8,1.2,7.5,670,8.7,11,7.9,17,605,0.496,1.28,0.5,4.8,5.5,371,0.877,1.3,4,99,0.341,0,0,0,0,92,1.19,1.51,0.43,104,1.35,1.71,0.48,31,0
0,32.8,0.586,7.9,22.4,9,22.4,16.1,21.96,218.5,7.3,17.5,2.4,6.6,735,9,13.1,6.5,12.5,535,0.523,1.4,0.522,4.4,5.4,361,0.809,0,0,0,0,0,0,0,0,0,0,0,0,156,1.9,2.78,0.57,33,0
0,31.5,0.542,11.9,24.5,9,18.3,13.8,21.79,186.1,6.2,17.7,2.6,5.1,600,7.7,11.7,6.5,13.4,506,0.485,1.32,0.484,4.7,6.6,365,0.714,0,0,0,0,0,0,0,0,0,0,0,0,132,1.69,2.58,0.71,24,0
0,38.4,0.566,17.2,25.6,4,11.8,7.8,21.76,193.8,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,7,148,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4th,40.3,0.624,9.1,21.2,3,14.1,8.8,21.76,286.8,9.6,24.2,0,0,0,0,0,8.2,17.1,665,0.511,1.42,0.566,4.9,5.2,394,0.927,3,7,240,0.433,0,0,0,0,108,1.33,1.59,0.68,0,0,0,0,0,0
0,29,0.581,5.9,18.7,10,13.5,11.9,21.27,170.7,5.7,0,0,0,0,0,0,6,11.1,488,0.541,1.33,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3rd,35.7,0.489,8.4,27.2,8,25,16.5,21.2,199.4,6.6,20.1,2.5,7.5,778,10,13.4,7.8,17.9,608,0.438,1.12,0.435,4.5,5.9,348,0.757,0,0,0,0,0,0,0,0,0,0,0,0,199,2.55,3.43,0.8,44,0
0,34.6,0.567,11.3,18.5,10,26.8,18.3,20.84,172.1,5.7,0,3.1,8.4,857,11.4,15.9,6.3,12,471,0.526,1.29,0.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
0,40.1,0.492,22,29.2,3,9.6,6.1,20.74,213,7.1,22.9,0,0,0,0,0,8.3,20.9,554,0.448,1.09,0.462,0,0,0,0,2.8,9,187,0.321,501,7.5,9,2.33,158,2.36,2.82,0.89,0,0,0,0,22,0
0,33.5,0.59,37.1,20.6,2,7.4,4.8,20.46,200.9,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,3,104,0.405,687,8.8,12.6,3.29,0,0,0,0,0,0,0,0,28,1
0,40.2,0.519,28.2,26,2,6.6,4.6,20.41,249.5,8.3,20.2,0,0,0,0,0,7.4,17.1,598,0.46,1.18,0.463,4.4,5.4,356,0.817,0,0,0,0,719,8.9,10.6,2.89,129,1.59,1.9,0.75,0,0,0,0,26,0
0,31.3,0.541,7.7,20.9,12,16.3,14.2,20.28,176.3,5.9,0,3.4,4.6,653,8.1,12.3,0,0,0,0,0,0,3.7,5,303,0.746,0,0,0,0,0,0,0,0,0,0,0,0,201,2.48,3.8,0.73,22,0
